,home_team,prediction,prediction,away_team
0,NO,-1.2,0.7,BAL
1,NYJ,5.2,0.1,BUF
2,CIN,-5.6,0.5,CAR
3,DET,3.4,0.7,GB
4,NE,1.5,0.7,IND
5,TB,-3.8,0.7,LA
6,ATL,1.4,0.8,LAC
7,JAX,3.3,0.4,LV
8,CHI,1.0,0.3,MIA
9,WAS,0.4,0.7,MIN
10,HOU,4.5,0.6,PHI
11,ARI,-0.4,1.3,SEA
12,KC,1.1,0.4,TEN
