,home_team,prediction,prediction,away_team
0,NE,-0.4,0.8,BUF
1,HOU,3.8,1.5,CLE
2,BAL,-4.8,1.0,DEN
3,CHI,3.3,1.1,GB
4,DAL,-3.2,0.9,IND
5,DET,2.0,0.2,JAX
6,CIN,-0.0,0.6,KC
7,LV,-1.8,0.5,LAC
8,SF,-9.4,1.0,MIA
9,TB,-5.1,0.5,NO
10,MIN,-2.4,0.7,NYJ
11,ATL,0.1,0.2,PIT
12,LA,-2.4,1.2,SEA
13,PHI,-3.7,0.8,TEN
14,NYG,1.0,0.7,WAS
