,home_team,prediction,prediction,away_team
0,MIN,1.8,0.2,ARI
1,TB,-2.0,2.0,BAL
2,ATL,1.4,1.1,CAR
3,DAL,-5.2,0.8,CHI
4,CLE,-0.6,1.1,CIN
5,JAX,3.8,0.5,DEN
6,BUF,-7.5,0.5,GB
7,NO,-5.8,0.3,LV
8,DET,2.7,0.3,MIA
9,NYJ,4.1,0.5,NE
10,SEA,-11.2,0.9,NYG
11,PHI,-8.4,2.4,PIT
12,LA,-0.1,0.4,SF
13,HOU,4.8,0.6,TEN
14,IND,-8.0,0.5,WAS
