,home_team,prediction,prediction,away_team
0,CIN,-5.4,0.6,ATL
1,NE,-4.2,1.6,CHI
2,BAL,-2.0,1.1,CLE
3,DAL,-7.8,0.8,DET
4,WAS,3.7,0.6,GB
5,LV,-8.7,0.6,HOU
6,TEN,0.8,0.3,IND
7,SF,-2.7,0.9,KC
8,ARI,2.0,1.1,NO
9,JAX,1.6,0.4,NYG
10,DEN,-9.8,0.9,NYJ
11,MIA,-3.8,0.8,PIT
12,LAC,-0.2,1.6,SEA
13,CAR,6.0,0.3,TB
