,home_team,prediction,prediction,away_team
0,WAS,-4.9,0.5,ATL
1,JAX,2.4,0.5,BAL
2,DET,2.9,0.6,BUF
3,NYJ,0.9,0.6,CHI
4,TEN,-1.1,0.3,CIN
5,CAR,1.5,0.7,DEN
6,PHI,-1.0,0.6,GB
7,MIA,-8.9,0.2,HOU
8,KC,0.4,0.5,LA
9,ARI,1.7,0.8,LAC
10,SEA,-3.6,0.3,LV
11,MIN,5.2,0.7,NE
12,SF,-5.8,0.6,NO
13,DAL,-10.1,0.4,NYG
14,IND,-7.6,1.2,PIT
15,CLE,2.0,0.7,TB
