,home_team,prediction,prediction,away_team
0,LA,-2.8,0.8,ARI
1,CAR,-1.6,0.4,ATL
2,MIA,2.2,0.3,CLE
3,GB,0.9,0.2,DAL
4,TEN,-0.2,1.2,DEN
5,CHI,-5.0,0.7,DET
6,NYG,-3.0,0.8,HOU
7,LV,1.3,0.1,IND
8,KC,-6.6,1.2,JAX
9,SF,-7.2,1.2,LAC
10,BUF,-11.2,1.1,MIN
11,PIT,3.2,0.5,NO
12,TB,-6.7,0.8,SEA
13,PHI,-9.5,0.7,WAS
