,home_team,prediction,prediction,away_team
0,BAL,-8.6,0.3,CAR
1,ATL,0.7,0.5,CHI
2,PIT,2.5,1.0,CIN
3,BUF,-7.3,0.6,CLE
4,MIN,2.7,1.1,DAL
5,NYG,-0.4,0.8,DET
6,LAC,1.1,0.6,KC
7,NO,-0.1,0.5,LA
8,DEN,-4.8,1.5,LV
9,NE,-6.9,0.8,NYJ
10,IND,0.1,0.1,PHI
11,ARI,3.8,4.8,SF
12,GB,-4.9,0.6,TEN
13,HOU,3.4,1.8,WAS
