,home_team,prediction,prediction.1,away_team,season,week,away_score,home_score,actual
812,CAR,1.9,0.3,ATL,2022,10,15.0,25.0,10.0
813,MIA,1.1,0.3,CLE,2022,10,17.0,39.0,22.0
814,GB,0.8,0.6,DAL,2022,10,28.0,31.0,3.0
815,TEN,-0.4,0.8,DEN,2022,10,10.0,17.0,7.0
816,CHI,-2.9,0.8,DET,2022,10,31.0,30.0,-1.0
817,NYG,-6.6,0.7,HOU,2022,10,16.0,24.0,8.0
818,LV,1.4,0.2,IND,2022,10,25.0,20.0,-5.0
819,KC,-5.9,0.5,JAX,2022,10,17.0,27.0,10.0
820,SF,-3.4,0.8,LAC,2022,10,16.0,22.0,6.0
821,BUF,-7.9,1.0,MIN,2022,10,33.0,30.0,-3.0
822,PIT,1.3,0.4,NO,2022,10,10.0,20.0,10.0
823,TB,1.9,0.4,SEA,2022,10,16.0,21.0,5.0
824,PHI,-7.7,1.1,WAS,2022,10,32.0,21.0,-11.0
825,DAL,-2.0,0.4,ARI,2021,17,25.0,22.0,-3.0
826,BUF,-15.8,5.7,ATL,2021,17,15.0,29.0,14.0
827,NO,-0.7,1.1,CAR,2021,17,10.0,18.0,8.0
828,PIT,6.5,1.1,CLE,2021,17,14.0,26.0,12.0
829,LAC,-2.8,0.6,DEN,2021,17,13.0,34.0,21.0
830,SEA,-6.8,0.6,DET,2021,17,29.0,51.0,22.0
831,SF,-16.1,6.7,HOU,2021,17,7.0,23.0,16.0
832,NE,-11.4,1.9,JAX,2021,17,10.0,50.0,40.0
833,CIN,-1.4,0.5,KC,2021,17,31.0,34.0,3.0
834,BAL,-1.1,1.0,LA,2021,17,20.0,19.0,-1.0
835,IND,-8.8,1.2,LV,2021,17,23.0,20.0,-3.0
836,TEN,-4.9,0.5,MIA,2021,17,3.0,34.0,31.0
837,GB,-7.5,1.0,MIN,2021,17,10.0,37.0,27.0
838,CHI,-5.2,0.5,NYG,2021,17,3.0,29.0,26.0
839,WAS,6.3,0.9,PHI,2021,17,20.0,16.0,-4.0
840,NYJ,8.4,2.2,TB,2021,17,28.0,24.0,-4.0
841,MIA,2.0,0.4,ATL,2021,7,30.0,28.0,-2.0
842,NYG,7.1,0.7,CAR,2021,7,3.0,25.0,22.0
843,TB,-8.6,1.9,CHI,2021,7,3.0,38.0,35.0
844,BAL,-7.1,1.2,CIN,2021,7,41.0,17.0,-24.0
845,CLE,3.2,0.6,DEN,2021,7,14.0,17.0,3.0
846,LA,-8.1,1.8,DET,2021,7,19.0,28.0,9.0
847,ARI,-10.6,3.7,HOU,2021,7,5.0,31.0,26.0
848,SF,-0.3,0.8,IND,2021,7,30.0,18.0,-12.0
849,TEN,-2.1,0.6,KC,2021,7,3.0,27.0,24.0
850,SEA,6.6,0.5,NO,2021,7,13.0,10.0,-3.0
851,NE,-6.5,0.9,NYJ,2021,7,13.0,54.0,41.0
852,LV,-3.2,1.1,PHI,2021,7,22.0,33.0,11.0
853,GB,-5.6,0.5,WAS,2021,7,10.0,24.0,14.0
854,CAR,1.6,0.5,ARI,2022,4,26.0,16.0,-10.0
855,BAL,3.3,0.5,BUF,2022,4,23.0,20.0,-3.0
856,NYG,-2.5,1.0,CHI,2022,4,12.0,20.0,8.0
857,ATL,3.9,1.0,CLE,2022,4,20.0,23.0,3.0
858,LV,1.7,0.4,DEN,2022,4,23.0,32.0,9.0
859,PHI,-0.2,0.8,JAX,2022,4,21.0,29.0,8.0
860,TB,-1.4,1.0,KC,2022,4,41.0,31.0,-10.0
861,SF,-0.3,0.7,LA,2022,4,9.0,24.0,15.0
862,HOU,2.6,0.2,LAC,2022,4,34.0,24.0,-10.0
863,CIN,-5.6,0.8,MIA,2022,4,15.0,27.0,12.0
864,NO,-0.1,0.9,MIN,2022,4,28.0,25.0,-3.0
865,GB,-4.8,0.6,NE,2022,4,24.0,27.0,3.0
866,PIT,0.6,1.2,NYJ,2022,4,24.0,20.0,-4.0
867,DET,2.3,0.3,SEA,2022,4,48.0,45.0,-3.0
868,IND,-7.5,0.8,TEN,2022,4,24.0,17.0,-7.0
869,DAL,-6.5,0.8,WAS,2022,4,10.0,25.0,15.0
870,SF,-11.8,3.9,ARI,2023,4,16.0,35.0,19.0
871,JAX,0.7,0.8,ATL,2023,4,7.0,23.0,16.0
872,CLE,-3.4,0.4,BAL,2023,4,28.0,3.0,-25.0
873,TEN,-0.7,0.7,CIN,2023,4,3.0,27.0,24.0
874,CHI,0.7,0.4,DEN,2023,4,31.0,28.0,-3.0
875,GB,-0.1,0.8,DET,2023,4,34.0,20.0,-14.0
876,NYJ,4.1,1.3,KC,2023,4,23.0,20.0,-3.0
877,IND,1.3,0.5,LA,2023,4,29.0,23.0,-6.0
878,LAC,-4.4,2.2,LV,2023,4,17.0,24.0,7.0
879,BUF,-2.8,0.4,MIA,2023,4,20.0,48.0,28.0
880,CAR,2.7,0.4,MIN,2023,4,21.0,13.0,-8.0
881,DAL,-4.0,0.3,NE,2023,4,3.0,38.0,35.0
882,HOU,-3.0,0.5,PIT,2023,4,6.0,30.0,24.0
883,NYG,2.7,0.7,SEA,2023,4,24.0,3.0,-21.0
884,NO,-5.5,0.5,TB,2023,4,26.0,9.0,-17.0
885,PHI,-5.0,0.5,WAS,2023,4,31.0,34.0,3.0
886,TEN,-1.1,0.8,ATL,2023,8,23.0,28.0,5.0
887,ARI,3.9,2.1,BAL,2023,8,31.0,24.0,-7.0
888,LAC,-2.6,1.3,CHI,2023,8,13.0,30.0,17.0
889,SF,-9.3,1.5,CIN,2023,8,31.0,17.0,-14.0
890,SEA,-4.2,0.7,CLE,2023,8,20.0,24.0,4.0
891,CAR,-0.0,0.7,HOU,2023,8,13.0,15.0,2.0
892,PIT,1.8,0.7,JAX,2023,8,20.0,10.0,-10.0
893,DEN,5.9,4.2,KC,2023,8,9.0,24.0,15.0
894,DAL,-7.1,1.2,LA,2023,8,20.0,43.0,23.0
895,DET,-4.5,1.5,LV,2023,8,14.0,26.0,12.0
896,GB,3.1,1.7,MIN,2023,8,24.0,10.0,-14.0
897,MIA,-6.0,0.8,NE,2023,8,17.0,31.0,14.0
898,IND,1.7,0.9,NO,2023,8,38.0,27.0,-11.0
899,NYG,1.2,0.5,NYJ,2023,8,13.0,10.0,-3.0
900,WAS,4.4,1.8,PHI,2023,8,38.0,31.0,-7.0
901,BUF,-5.3,0.5,TB,2023,8,18.0,24.0,6.0
902,MIN,-2.5,0.7,ARI,2022,8,26.0,34.0,8.0
903,TB,-1.8,1.5,BAL,2022,8,27.0,22.0,-5.0
904,ATL,-2.6,1.1,CAR,2022,8,34.0,37.0,3.0
905,DAL,-6.1,0.6,CHI,2022,8,29.0,49.0,20.0
906,CLE,1.5,0.4,CIN,2022,8,13.0,32.0,19.0
907,JAX,0.7,0.4,DEN,2022,8,21.0,17.0,-4.0
908,BUF,-9.3,1.2,GB,2022,8,17.0,27.0,10.0
909,NO,-3.7,0.9,LV,2022,8,0.0,24.0,24.0
910,DET,1.6,0.3,MIA,2022,8,31.0,27.0,-4.0
911,NYJ,0.9,0.4,NE,2022,8,22.0,17.0,-5.0
912,SEA,-5.3,0.9,NYG,2022,8,13.0,27.0,14.0
913,PHI,-12.0,3.5,PIT,2022,8,13.0,35.0,22.0
914,LA,-1.7,1.0,SF,2022,8,31.0,14.0,-17.0
915,HOU,2.3,0.4,TEN,2022,8,17.0,10.0,-7.0
916,IND,-3.2,1.0,WAS,2022,8,17.0,16.0,-1.0
917,SEA,2.6,0.7,ARI,2024,12,6.0,16.0,10.0
918,LAC,5.2,1.3,BAL,2024,12,30.0,23.0,-7.0
919,WAS,-7.5,0.8,DAL,2024,12,34.0,26.0,-8.0
920,LV,5.5,2.0,DEN,2024,12,29.0,19.0,-10.0
921,IND,6.3,1.7,DET,2024,12,24.0,6.0,-18.0
922,CAR,7.0,2.1,KC,2024,12,30.0,27.0,-3.0
923,CHI,0.1,1.4,MIN,2024,12,30.0,27.0,-3.0
924,MIA,-5.5,0.4,NE,2024,12,15.0,34.0,19.0
925,LA,5.7,1.3,PHI,2024,12,37.0,20.0,-17.0
